,Unnamed: 0,Event_ID,Event_Title,Event_Date,Event_Day,Event_Type,Race_Date,Race_Time,Race_Name,Race_Classification,Race_Band,Race_Category
1,1,249769,SERRL Winter Series #5,01/01/22,Sat,Closed Circuit,1 Jan 22,10:15,3rd Category Men,Regional C+,Band 5,3rd
2,2,249769,SERRL Winter Series #5,01/01/22,Sat,Closed Circuit,1 Jan 22,10:16,2nd & 3rd Category Women,Regional C+,Band 5 (<10 Entrants),"2nd, 3rd"
3,3,249769,SERRL Winter Series #5,01/01/22,Sat,Closed Circuit,1 Jan 22,11:30,E/1/2/3 Men,Regional C+,Band 5,"1st, 2nd, 3rd, Elite"
5,5,253517,Octäve New Year’s Day Mädison Cyclo-Cross 2022,01/01/22,Sat,Cyclo-Cross,1 Jan 22,11:30,Under 10s & 12s,Non-Ranking,,Under 12
6,6,253517,Octäve New Year’s Day Mädison Cyclo-Cross 2022,01/01/22,Sat,Cyclo-Cross,1 Jan 22,12:30,Youth,Non-Ranking,,"Youth U14, Youth U16"
7,7,253517,Octäve New Year’s Day Mädison Cyclo-Cross 2022,01/01/22,Sat,Cyclo-Cross,1 Jan 22,13:45,Senior/Women/Vets/Junior,Non-Ranking,,"Junior, Senior, Under 23, Vet 40-49, Vet 50+, Vet 50-59, Vet 60+, Veteran, Women"
9,9,257784,X²O Badkamers Trofee GP Sven Nys (UCI/C1),01/01/22,Sat,Cyclo-Cross,1 Jan 22,01:00,Elite Men,International,CX Band 1,"Junior, Senior"
10,10,257784,X²O Badkamers Trofee GP Sven Nys (UCI/C1),01/01/22,Sat,Cyclo-Cross,1 Jan 22,01:00,Elite Women,International,CX Band 2 (Pre Sept 2023),"Junior, Senior"
11,11,257784,X²O Badkamers Trofee GP Sven Nys (UCI/C1),01/01/22,Sat,Cyclo-Cross,1 Jan 22,01:00,U23 Men,International,CX Band 2 (Pre Sept 2023),"Junior, Senior"
12,12,257784,X²O Badkamers Trofee GP Sven Nys (UCI/C1),01/01/22,Sat,Cyclo-Cross,1 Jan 22,01:00,Junior Men,International,CX Band 2 (Pre Sept 2023),Junior
13,13,257784,X²O Badkamers Trofee GP Sven Nys (UCI/C1),01/01/22,Sat,Cyclo-Cross,1 Jan 22,01:00,Junior Women,International,CX Band 2 (Pre Sept 2023),Junior
15,15,229041,Iceni Velo Cross-Eastern League Round 10,02/01/22,Sun,Cyclo-Cross,2 Jan 22,09:30,Under 10s Boys and Girls,Under 12,,Under 12
16,16,229041,Iceni Velo Cross-Eastern League Round 10,02/01/22,Sun,Cyclo-Cross,2 Jan 22,09:50,Under 12s Boys and Girls,Under 12,,Under 12
17,17,229041,Iceni Velo Cross-Eastern League Round 10,02/01/22,Sun,Cyclo-Cross,2 Jan 22,01:00,U14 Girls,Category B,CX Band 5 (Pre Sept 2023),Youth U14
18,18,229041,Iceni Velo Cross-Eastern League Round 10,02/01/22,Sun,Cyclo-Cross,2 Jan 22,01:00,U14 Boys,Category B,CX Band 4 (Pre Sept 2023),Youth U14
19,19,229041,Iceni Velo Cross-Eastern League Round 10,02/01/22,Sun,Cyclo-Cross,2 Jan 22,01:00,U16 Girls,Category B,CX Band 5 (Pre Sept 2023),Youth U16
20,20,229041,Iceni Velo Cross-Eastern League Round 10,02/01/22,Sun,Cyclo-Cross,2 Jan 22,01:00,U16 Boys,Category B,CX Band 4 (Pre Sept 2023),Youth U16
21,21,229041,Iceni Velo Cross-Eastern League Round 10,02/01/22,Sun,Cyclo-Cross,2 Jan 22,13:45,Senior Women,Category B,CX Band 3 (Pre Sept 2023),"Junior, Senior, Vet 40-49, Vet 50-59, Vet 60+"
22,22,229041,Iceni Velo Cross-Eastern League Round 10,02/01/22,Sun,Cyclo-Cross,2 Jan 22,01:00,Junior Women,Category B,CX Band 6 (Pre Sept 2023),Junior
23,23,229041,Iceni Velo Cross-Eastern League Round 10,02/01/22,Sun,Cyclo-Cross,2 Jan 22,01:00,Veteran Women 40-49,Category B,CX Band 5 (Pre Sept 2023),Vet 40-49
24,24,229041,Iceni Velo Cross-Eastern League Round 10,02/01/22,Sun,Cyclo-Cross,2 Jan 22,01:00,Veteran Women 50-59,Category B,CX Band 5 (Pre Sept 2023),Vet 50-59
25,25,229041,Iceni Velo Cross-Eastern League Round 10,02/01/22,Sun,Cyclo-Cross,2 Jan 22,01:00,Veteran Women 60+,Category B,CX Band 3 (Pre Sept 2023),Vet 60+
26,26,229041,Iceni Velo Cross-Eastern League Round 10,02/01/22,Sun,Cyclo-Cross,2 Jan 22,14:45,Senior and Junior Men,Category B,CX Band 3 (Pre Sept 2023),"Junior, Senior, Vet 40-49, Vet 50-59, Vet 60+"
27,27,229041,Iceni Velo Cross-Eastern League Round 10,02/01/22,Sun,Cyclo-Cross,2 Jan 22,10:15,Junior Men,Category B,CX Band 4 (Pre Sept 2023),Junior
28,28,229041,Iceni Velo Cross-Eastern League Round 10,02/01/22,Sun,Cyclo-Cross,2 Jan 22,12:45,Veteran Men 40-49,Category B,CX Band 3 (Pre Sept 2023),Vet 40-49
29,29,229041,Iceni Velo Cross-Eastern League Round 10,02/01/22,Sun,Cyclo-Cross,2 Jan 22,11:15,Veteran Men 50-59,Category B,CX Band 3 (Pre Sept 2023),Vet 50-59
30,30,229041,Iceni Velo Cross-Eastern League Round 10,02/01/22,Sun,Cyclo-Cross,2 Jan 22,01:00,Veteran Men 60+,Category B,CX Band 4 (Pre Sept 2023),Vet 60+
32,32,247949,CXNE Round 10,02/01/22,Sun,Cyclo-Cross,2 Jan 22,12:20,Under 8,Go-Cross,,Under 12
33,33,247949,CXNE Round 10,02/01/22,Sun,Cyclo-Cross,2 Jan 22,14:30,Senior Men (1),Category B,CX Band 4 (Pre Sept 2023),Senior
34,34,247949,CXNE Round 10,02/01/22,Sun,Cyclo-Cross,2 Jan 22,14:30,Senior Men (2),Category B,CX Band 4 (Pre Sept 2023),Senior
35,35,247949,CXNE Round 10,02/01/22,Sun,Cyclo-Cross,2 Jan 22,12:40,Under 10,Go-Cross,,Under 12
36,36,247949,CXNE Round 10,02/01/22,Sun,Cyclo-Cross,2 Jan 22,13:15,Veteran Men 40-49 (1),Category B,CX Band 4 (Pre Sept 2023),Vet 40-49
37,37,247949,CXNE Round 10,02/01/22,Sun,Cyclo-Cross,2 Jan 22,13:15,Veteran Men 40-49 (2),Category B,CX Band 4 (Pre Sept 2023),Vet 40-49
38,38,247949,CXNE Round 10,02/01/22,Sun,Cyclo-Cross,2 Jan 22,10:30,Veteran Men 50+,Category B,CX Band 4 (Pre Sept 2023),Vet 50+
39,39,247949,CXNE Round 10,02/01/22,Sun,Cyclo-Cross,2 Jan 22,10:30,Veteran Men 50+ (1),Category B,CX Band 4 (Pre Sept 2023),Vet 50+
40,40,247949,CXNE Round 10,02/01/22,Sun,Cyclo-Cross,2 Jan 22,13:00,Under 12,Go-Cross,,Under 12
41,41,247949,CXNE Round 10,02/01/22,Sun,Cyclo-Cross,2 Jan 22,01:00,U14 Girls,Category B,CX Band 6 (Pre Sept 2023),Youth U14
42,42,247949,CXNE Round 10,02/01/22,Sun,Cyclo-Cross,2 Jan 22,13:15,Junior Men (1),Category B,CX Band 5 (Pre Sept 2023),Junior
43,43,247949,CXNE Round 10,02/01/22,Sun,Cyclo-Cross,2 Jan 22,13:15,Junior Men (2),Category B,CX Band 5 (Pre Sept 2023),Junior
44,44,247949,CXNE Round 10,02/01/22,Sun,Cyclo-Cross,2 Jan 22,01:00,U14 Boys,Category B,CX Band 4 (Pre Sept 2023),Youth U14
45,45,247949,CXNE Round 10,02/01/22,Sun,Cyclo-Cross,2 Jan 22,10:30,Women (1),Category B,CX Band 4 (Pre Sept 2023),"Junior, Senior, Veteran, Women"
46,46,247949,CXNE Round 10,02/01/22,Sun,Cyclo-Cross,2 Jan 22,10:30,Women (2),Category B,CX Band 4 (Pre Sept 2023),"Junior, Senior, Veteran, Women"
