,Unnamed: 0,Event_ID,Event_Title,Event_Date,Event_Day,Event_Type,Race_Date,Race_Time,Race_Name,Race_Classification,Race_Band,Race_Category
1,1,294058,OCTÄVE'S NYD MÄDISON CYCLOCROSS 2024,01/01/24,Mon,Cyclo-Cross,1 Jan 24,11:30,Under 10s & 12s,Non-Ranking,,Under 12
2,2,294058,OCTÄVE'S NYD MÄDISON CYCLOCROSS 2024,01/01/24,Mon,Cyclo-Cross,1 Jan 24,12:30,Youth,Non-Ranking,,"Youth U14, Youth U16"
3,3,294058,OCTÄVE'S NYD MÄDISON CYCLOCROSS 2024,01/01/24,Mon,Cyclo-Cross,1 Jan 24,13:45,Senior/Women/Vets/Junior,Non-Ranking,,"Junior, Senior, Under 23, Vet 40-49, Vet 50+, Vet 50-59, Vet 60+, Veteran, Women"
5,5,298525,X²O Badkamers Trofee GP Sven Nys (UCI/C1) (Cancelled),01/01/24,Mon,Cyclo-Cross,1 Jan 24,09:00,Junior Men,International,CX Band 4,Junior
6,6,298525,X²O Badkamers Trofee GP Sven Nys (UCI/C1) (Cancelled),01/01/24,Mon,Cyclo-Cross,1 Jan 24,09:00,Men Elite,International,CX Band 3,Senior
7,7,298525,X²O Badkamers Trofee GP Sven Nys (UCI/C1) (Cancelled),01/01/24,Mon,Cyclo-Cross,1 Jan 24,09:00,Women Elite,International,CX Band 3,Senior
9,9,290824,Full Gas Open Track Meeting Event #4,04/01/24,Thu,Track,4 Jan 24,09:00,Points Race,Regional C+,Band 5,"1st, 2nd, 3rd, 4th, Elite, Junior, N/A"
10,10,290824,Full Gas Open Track Meeting Event #4,04/01/24,Thu,Track,4 Jan 24,19:00,Open Endurance Scratch,Regional C+,Band 5,"1st, 2nd, 3rd, 4th, Elite, Junior"
11,11,290824,Full Gas Open Track Meeting Event #4,04/01/24,Thu,Track,4 Jan 24,19:00,Open Endurance Group 2,Regional C+,,"1st, 2nd, 3rd, 4th, Elite, Junior"
12,12,290824,Full Gas Open Track Meeting Event #4,04/01/24,Thu,Track,4 Jan 24,19:00,Open Sprint Group,Regional C,,"1st, 2nd, 3rd, 4th, Elite, Junior, N/A"
13,13,290824,Full Gas Open Track Meeting Event #4,04/01/24,Thu,Track,4 Jan 24,19:00,Para Sprint Group,Regional C,,"1st, 2nd, 3rd, 4th, Elite, Junior, N/A"
14,14,290824,Full Gas Open Track Meeting Event #4,04/01/24,Thu,Track,4 Jan 24,19:00,Tandem Sprint Group,Regional C,,"1st, 2nd, 3rd, 4th, Elite, Junior, N/A"
15,15,290824,Full Gas Open Track Meeting Event #4,04/01/24,Thu,Track,4 Jan 24,19:01,500 M Time Trial,Regional C,,"1st, 2nd, 3rd, 4th, Elite, Junior, N/A"
16,16,290824,Full Gas Open Track Meeting Event #4,04/01/24,Thu,Track,4 Jan 24,19:01,Para 500 M Time Trial,Regional C,,"1st, 2nd, 3rd, 4th, Elite, Junior, N/A"
17,17,290824,Full Gas Open Track Meeting Event #4,04/01/24,Thu,Track,4 Jan 24,19:02,1 km Time Trial,Regional C,,"1st, 2nd, 3rd, 4th, Elite, Junior, N/A"
18,18,290824,Full Gas Open Track Meeting Event #4,04/01/24,Thu,Track,4 Jan 24,19:02,Para 1 km Time Trial,Regional C,,"1st, 2nd, 3rd, 4th, Elite, Junior, N/A"
19,19,290824,Full Gas Open Track Meeting Event #4,04/01/24,Thu,Track,4 Jan 24,19:03,3 km Individual Pursuit,Regional C,Band 5 (<10 Entrants),"1st, 2nd, 3rd, 4th, Elite, Junior, N/A"
20,20,290824,Full Gas Open Track Meeting Event #4,04/01/24,Thu,Track,4 Jan 24,19:03,Para 3 km Pursuit,Regional C,Band 5 (<10 Entrants),"1st, 2nd, 3rd, 4th, Elite, Junior, N/A"
21,21,290824,Full Gas Open Track Meeting Event #4,04/01/24,Thu,Track,4 Jan 24,19:04,4 km Individual Pursuit,Regional C,Band 5 (<10 Entrants),"1st, 2nd, 3rd, 4th, Elite, Junior, N/A"
22,22,290824,Full Gas Open Track Meeting Event #4,04/01/24,Thu,Track,4 Jan 24,19:04,Para 4 km Pursuit,Regional C,,"1st, 2nd, 3rd, 4th, Elite, Junior, N/A"
24,24,298522,X²O Badkamers Trofee Vlaamse Duinencross Koksijde (UCI/C1),04/01/24,Thu,Cyclo-Cross,4 Jan 24,09:00,Men Elite,International,CX Band 3,Senior
25,25,298522,X²O Badkamers Trofee Vlaamse Duinencross Koksijde (UCI/C1),04/01/24,Thu,Cyclo-Cross,4 Jan 24,09:00,Men Under 23,International,CX Band 4,Senior
26,26,298522,X²O Badkamers Trofee Vlaamse Duinencross Koksijde (UCI/C1),04/01/24,Thu,Cyclo-Cross,4 Jan 24,09:00,Women Elite,International,CX Band 3,Senior
28,28,294839,Glasgow Track League 2023/24 Round 10 (Cancelled),05/01/24,Fri,Track League,5 Jan 24,18:45,Group A,Regional C,,"1st, 2nd, 3rd, 4th, A, Elite, Junior"
29,29,294839,Glasgow Track League 2023/24 Round 10 (Cancelled),05/01/24,Fri,Track League,5 Jan 24,18:45,Group B,Regional C,,"1st, 2nd, 3rd, 4th, A, Elite, Junior"
30,30,294839,Glasgow Track League 2023/24 Round 10 (Cancelled),05/01/24,Fri,Track League,5 Jan 24,18:45,Group C,Regional C,,"1st, 2nd, 3rd, 4th, A, Elite, Junior"
31,31,294839,Glasgow Track League 2023/24 Round 10 (Cancelled),05/01/24,Fri,Track League,5 Jan 24,18:45,Group D,Regional C,,"1st, 2nd, 3rd, 4th, A, B, Elite, Junior"
32,32,294839,Glasgow Track League 2023/24 Round 10 (Cancelled),05/01/24,Fri,Track League,5 Jan 24,18:45,New To Track League,Regional C,,"1st, 2nd, 3rd, 4th, A, B, Elite, Junior"
34,34,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,12:00,Event 7 - Youth C Scratch,Youth Only,,"A, B"
35,35,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,12:00,Event 8 - Youth B Scratch,Youth Only,Band 5 (<10 Entrants),B
36,36,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,12:00,Event 9 - A Girls Points,Youth Only,Band 5,"A, B, C, D, E, N/A"
37,37,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,12:00,Event 10 - Youth A Scratch,Youth Only,Band 5,"A, B, C, D, E, N/A"
38,38,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,12:00,Event 11 - Women's Points,Regional C+,Band 5,"1st, 2nd, 3rd, 4th, Elite, Junior"
39,39,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,12:00,Event 12 - Open Scratch Race,Regional C+,Band 5,"1st, 2nd, 3rd, 4th, Elite, Junior"
40,40,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,12:00,Event 13 - Youth C Boys Elim,Youth Only,,
41,41,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,12:00,Event 14 - B Boys Elimination,Youth Only,Band 5,"A, B"
42,42,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,12:00,Event 15 - A Girls Elimination,Youth Only,Band 5,"A, B"
43,43,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,12:00,Event 16 - A Boys Elimination,Youth Only,Band 5,"A, B"
44,44,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,12:00,Event 17 - Women Elimination,Regional C+,Band 5,"1st, 2nd, 3rd, 4th, Elite, Junior, N/A"
45,45,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,12:00,Event 18 - Open Elimination,Regional C+,Band 5,"1st, 2nd, 3rd, 4th, Elite, Junior, N/A"
46,46,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,12:00,Event 22 - Youth C Boys Points,Youth Only,,C
47,47,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,12:00,Event 23 - Youth B Boys Points,Youth Only,Band 5,B
48,48,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,01:00,Event 24 - A Girls Scratch,Youth Only,Band 5,"A, B, C, D, E, N/A"
49,49,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,12:00,Event 25 - Youth A Scratch,Youth Only,Band 5,"A, B"
50,50,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,12:00,Event 26 - Women Scratch,Regional C+,Band 5,"1st, 2nd, 3rd, 4th, Elite, Junior, N/A"
51,51,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,12:00,Event 27 - Open Points,Regional C+,Band 5,"1st, 2nd, 3rd, 4th, Elite, Junior, N/A"
52,52,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,12:00,Event 30 - Youth C Scratch,Youth Only,Youth,C
53,53,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,01:00,Event 31 - Youth B Scratch,Youth Only,Band 5,"A, B, C, D, E, N/A"
54,54,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,12:00,Event 32 - Youth A Girl Scratch,Youth Only,Band 5,"A, B"
55,55,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,01:00,Event 33 - Youth A Points,Youth Only,Band 5,"A, B, C, D, E, N/A"
